OTU.ID	taxa
2265	Bacteria
2273	Bacteria
2274	Bacteria
2276	Bacteria
2281	Bacteria
2291	Bacteria
2294	Bacteria
2297	Bacteria
2307	Bacteria
2326	Bacteria
2337	Bacteria
2340	Bacteria
2350	Bacteria
2363	Bacteria
2376	Bacteria
2386	Bacteria
2393	Bacteria
2394	Bacteria
2401	Bacteria
2409	Bacteria
2432	Bacteria
2437	Bacteria
2445	Bacteria
2449	Bacteria
2452	Bacteria
2454	Bacteria
2463	Bacteria
2470	Bacteria
2473	Bacteria
2474	Bacteria
2481	Bacteria
2485	Bacteria
2509	Bacteria
2520	Bacteria
2526	Bacteria
2537	Bacteria
2539	Bacteria
2540	Bacteria
2545	Bacteria
2552	Bacteria
2559	Bacteria
2562	Bacteria
2567	Bacteria
2571	Bacteria
2582	Bacteria
2587	Bacteria
2592	Bacteria
2594	Bacteria
2596	Bacteria
2602	Bacteria
2616	Bacteria
2620	Bacteria
2622	Bacteria
2623	Bacteria
2624	Bacteria
2625	Bacteria
2628	Bacteria
2629	Bacteria
2631	Bacteria
2634	Bacteria
2644	Bacteria
2653	Bacteria
2654	Bacteria
2660	Bacteria
2662	Bacteria
2667	Bacteria
2683	Bacteria
2688	Bacteria
2697	Bacteria
2711	Bacteria
2730	Bacteria
2736	Bacteria
2741	Bacteria
2742	Bacteria
2746	Bacteria
2750	Bacteria
2751	Bacteria
2754	Bacteria
2759	Bacteria
2768	Bacteria
2771	Bacteria
2775	Bacteria
2787	Bacteria
2788	Bacteria
2789	Bacteria
2794	Bacteria
2803	Bacteria
2804	Bacteria
2815	Bacteria
2821	Bacteria
2825	Bacteria
2852	Bacteria
2859	Bacteria
2867	Bacteria
2869	Bacteria
2874	Bacteria
2876	Bacteria
2883	Bacteria
2884	Bacteria
2888	Bacteria
2893	Bacteria
2894	Bacteria
2896	Bacteria
2899	Bacteria
2904	Bacteria
2943	Bacteria
2954	Bacteria
2963	Bacteria
2967	Bacteria
2969	Bacteria
2972	Bacteria
2986	Bacteria
2991	Bacteria
3001	Bacteria
3014	Bacteria
3019	Bacteria
3025	Bacteria
3031	Bacteria
3040	Bacteria
3043	Bacteria
3050	Bacteria
3062	Bacteria
3063	Bacteria
3065	Bacteria
3066	Bacteria
3067	Bacteria
3078	Bacteria
3080	Bacteria
3084	Bacteria
3096	Bacteria
3103	Bacteria
3129	Bacteria
3133	Bacteria
3144	Bacteria
3148	Bacteria
3149	Bacteria
3164	Bacteria
3166	Bacteria
3172	Bacteria
3178	Bacteria
3179	Bacteria
3183	Bacteria
3189	Bacteria
3193	Bacteria
3196	Bacteria
3197	Bacteria
3199	Bacteria
3209	Bacteria
3211	Bacteria
3218	Bacteria
3220	Bacteria
3224	Bacteria
3233	Bacteria
3236	Bacteria
3237	Bacteria
3238	Bacteria
3246	Bacteria
3248	Bacteria
3250	Bacteria
3252	Bacteria
3254	Bacteria
3261	Bacteria
3268	Bacteria
3273	Bacteria
3274	Bacteria
3275	Bacteria
3277	Bacteria
3279	Bacteria
3281	Bacteria
3289	Bacteria
3291	Bacteria
3301	Bacteria
3306	Bacteria
3307	Bacteria
3310	Bacteria
3316	Bacteria
3324	Bacteria
3338	Bacteria
3350	Bacteria
3351	Bacteria
3352	Bacteria
3359	Bacteria
3362	Bacteria
3367	Bacteria
3368	Bacteria
3374	Bacteria
3383	Bacteria
3388	Bacteria
3397	Bacteria
3401	Bacteria
3407	Bacteria
3414	Bacteria
3419	Bacteria
3422	Bacteria
3441	Bacteria
3444	Bacteria
3445	Bacteria
3458	Bacteria
3461	Bacteria
3463	Bacteria
3470	Bacteria
3479	Bacteria
3482	Bacteria
3483	Bacteria
3488	Bacteria
3491	Bacteria
3512	Bacteria
3524	Bacteria
3526	Bacteria
3543	Bacteria
3548	Bacteria
3549	Bacteria
3554	Bacteria
3555	Bacteria
3565	Bacteria
3573	Bacteria
3588	Bacteria
3597	Bacteria
3606	Bacteria
3608	Bacteria
3614	Bacteria
3616	Bacteria
3619	Bacteria
3620	Bacteria
3626	Bacteria
3627	Bacteria
3629	Bacteria
3631	Bacteria
3632	Bacteria
3634	Bacteria
3644	Bacteria
3648	Bacteria
3651	Bacteria
3653	Bacteria
3658	Bacteria
3667	Bacteria
3678	Bacteria
3681	Bacteria
3682	Bacteria
3694	Bacteria
3697	Bacteria
3699	Bacteria
3702	Bacteria
3704	Bacteria
3724	Bacteria
3725	Bacteria
3727	Bacteria
3728	Bacteria
3746	Bacteria
3753	Bacteria
3762	Bacteria
3771	Bacteria
3783	Bacteria
3799	Bacteria
3805	Bacteria
3814	Bacteria
3824	Bacteria
3839	Bacteria
3847	Bacteria
3849	Bacteria
3850	Bacteria
3852	Bacteria
3858	Bacteria
3860	Bacteria
3862	Bacteria
3868	Bacteria
3872	Bacteria
3873	Bacteria
3874	Bacteria
3876	Bacteria
3877	Bacteria
3880	Bacteria
3888	Bacteria
3889	Bacteria
3895	Bacteria
3910	Bacteria
3917	Bacteria
3920	Bacteria
3923	Bacteria
3924	Bacteria
3925	Bacteria
3926	Bacteria
3933	Bacteria
3937	Bacteria
3939	Bacteria
3954	Bacteria
3958	Bacteria
3962	Bacteria
3964	Bacteria
3968	Bacteria
3972	Bacteria
3985	Bacteria
3992	Bacteria
4004	Bacteria
4021	Bacteria
4022	Bacteria
4028	Bacteria
4032	Bacteria
4035	Bacteria
4037	Bacteria
4049	Bacteria
4051	Bacteria
4054	Bacteria
4056	Bacteria
4065	Bacteria
4068	Bacteria
4071	Bacteria
4075	Bacteria
4081	Bacteria
4085	Bacteria
4093	Bacteria
4100	Bacteria
4102	Bacteria
4109	Bacteria
4116	Bacteria
4119	Bacteria
4127	Bacteria
4131	Bacteria
4134	Bacteria
4148	Bacteria
4155	Bacteria
4164	Bacteria
4183	Bacteria
4187	Bacteria
4205	Bacteria
4207	Bacteria
4215	Bacteria
4219	Bacteria
4222	Bacteria
4230	Bacteria
4236	Bacteria
4241	Bacteria
4242	Bacteria
4244	Bacteria
4246	Bacteria
4252	Bacteria
4253	Bacteria
4256	Bacteria
4260	Bacteria
4278	Bacteria
4281	Bacteria
4287	Bacteria
4290	Bacteria
4291	Bacteria
4293	Bacteria
4305	Bacteria
4314	Bacteria
4332	Bacteria
4352	Bacteria
4358	Bacteria
4362	Bacteria
4364	Bacteria
4375	Bacteria
4378	Bacteria
4380	Bacteria
4383	Bacteria
4385	Bacteria
4389	Bacteria
4393	Bacteria
4395	Bacteria
4397	Bacteria
4402	Bacteria
4414	Bacteria
4417	Bacteria
4421	Bacteria
4426	Bacteria
4428	Bacteria
4431	Bacteria
4450	Bacteria
4465	Bacteria
4488	Bacteria
4507	Bacteria
4508	Bacteria
4512	Bacteria
4525	Bacteria
4527	Bacteria
4538	Bacteria
